id,stance
793094142792531968,denier
962146811980009473,believer
638748159280197632,believer
993844869184610304,neutral
1073958131019984896,believer
986533928499580929,neutral
1161274847168614400,denier
928726661020946432,denier
952338896167190528,believer
277778661179023360,believer
929671019463262208,believer
1119932478309797889,believer
1124729282075533314,believer
1070741161394999296,believer
1119228172569018368,believer
931115333901053954,neutral
923710364512002048,believer
664433889050497024,believer
1074513981556080640,denier
1049333940388028419,believer
992808381340704768,neutral
1166009822107582464,believer
1129838911570755585,believer
1123198431273652224,believer
985288869762367488,believer
719287928564891648,neutral
136922199012548608,believer
1079566654055596032,neutral
616276814751793152,denier
714403410922102784,believer
982632497665200129,denier
637614503279116288,neutral
974226686991650817,believer
1176492297976012800,believer
944278434401861632,believer
1067876307504062464,neutral
153945029805752320,neutral
1004367823680856064,believer
1120339175272853509,believer
785936920060715008,denier
1073141626350882817,believer
603374490660245504,believer
1123210602195890177,believer
32505014807175168,denier
1040692419652550656,believer
933781825016786946,believer
678396259078541312,believer
987434049940676608,believer
1004957561257385984,believer
918416579641184256,believer
1043501419725172738,believer
1068442143704801280,neutral
693056495005605888,believer
973700810310848517,believer
1067526291887452160,believer
920340561718075393,neutral
976826070619090944,believer
1017141711338950656,believer
987027559782146048,believer
962018101750460417,believer
957055814774198272,believer
405860332029345792,neutral
1124544361457262592,believer
953106140388147205,denier
923323242361819137,believer
624259058996908032,believer
1077956732402483200,believer
470012887457861632,neutral
1054099191285407744,believer
923433169331691525,neutral
1076231733878546432,believer
1126581286926204928,neutral
1029099210954616832,denier
982223029273952256,believer
1069294473878929409,believer
675800446355636224,believer
1014857038197919744,believer
1081191634983968768,believer
950012448265920518,believer
928750328975122432,believer
1071562482265640960,believer
1033139738666881025,neutral
704328518470078464,believer
704168802293043200,neutral
922680838868946944,denier
794844039602286592,believer
1069674750568366080,believer
1067226668358606848,neutral
946787507097755648,believer
1055424428727787520,neutral
928770038932344832,believer
1046221103402811392,believer
7432710839,neutral
1042512185962901504,believer
1082309132009570310,believer
983771038956867585,believer
15718813335,neutral
1082318783660937216,believer
1003717052320878594,neutral
946760569696260096,believer
988058808437047297,believer
1070540320214052864,neutral
1121772861495152646,believer
946592661070405632,believer
604036557792755712,believer
968605088586653696,denier
915291324894420992,believer
1071135939106402304,believer
959386585891524608,denier
929433267962548224,believer
955927019585449989,believer
912300812541595649,believer
939191325777330176,denier
1053346185837199361,believer
1127324927495954434,believer
1143938849216876416,believer
433021512216743936,neutral
1067651497566134272,believer
1121649151307948032,believer
946749212523458563,believer
1050269835811147776,believer
566301475001757696,believer
1049221496948842497,believer
1030469985313812480,believer
1074018249682153474,believer
925832396036964352,believer
1031614825749770240,believer
236138155412180992,neutral
1004553367044182016,believer
874517321213243392,believer
475699362115629056,denier
922362211426693120,believer
457277073627693056,neutral
966426227643953152,denier
1005703533717581825,believer
357934777648685056,believer
1069747270214541312,believer
925250045384912896,believer
1029290692546256896,believer
956368846625140736,believer
997200854032658432,believer
1031515498184368128,believer
997490318638505986,believer
1124795322092392448,believer
968619792042266624,believer
1005075774842556420,believer
896264322124365824,neutral
300232311667060736,neutral
1054243904067760128,believer
508110065740836864,neutral
1078432697788350465,believer
683087369197715456,neutral
975845776071958528,believer
5214621872,neutral
1082134651127369736,believer
677609545984790528,neutral
1072467087547883520,believer
1104859747071782784,believer
946648598711644160,believer
1067496783557918720,believer
1039668310487523328,believer
920454401516380160,believer
1161828817,neutral
1080588880712294401,believer
1075191542866882560,believer
1017662531093987328,believer
1072680954890727424,believer
1118703986033549313,believer
1081264115241254914,believer
851489846212403200,believer
608584726677458944,believer
31938907104874496,believer
1053477906968690688,neutral
106241934053478400,neutral
937196662614843394,believer
1040912559279239169,believer
982261076069761029,believer
715417282151911424,neutral
1080466601550508033,believer
809556232214298624,believer
940698347773530112,neutral
1004024879249743872,believer
1030253310,denier
993926170587480064,believer
1076081130921590784,believer
628295123386826752,neutral
933785287137865728,believer
1127553357613158400,believer
911136527014666240,believer
705920011043340288,believer
1067205865504153600,believer
1121791116787871745,denier
